Data;Tipo de Despesa;Valor;Descrição
20/08/2025 06:04;Energia;140601;Energia - pagamento referente a Aug 2025
30/08/2025 04:17;Folha de pagamento;325073;Folha de pagamento - pagamento referente a Aug 2025
06/08/2025 08:01;Manutenção de equipamento;45638;Manutenção de equipamento - pagamento referente a Aug 2025
15/08/2025 05:52;Internet;357007;Internet - pagamento referente a Aug 2025
01/08/2025 05:36;Manutenção predial;80307;Manutenção predial - pagamento referente a Aug 2025
04/08/2025 00:41;Materiais de Limpeza;68309;Materiais de Limpeza - pagamento referente a Aug 2025
21/08/2025 12:09;Alimentação;15954;Alimentação - pagamento referente a Aug 2025
21/08/2025 09:01;Internet;280917;Internet - pagamento referente a Aug 2025
27/08/2025 11:14;Água;31998;Água - pagamento referente a Aug 2025
24/08/2025 12:31;Materiais de Escritório;45552;Materiais de Escritório - pagamento referente a Aug 2025
09/08/2025 09:54;Vale Transporte;283607;Vale Transporte - pagamento referente a Aug 2025
20/08/2025 08:44;Vale Transporte;286541;Vale Transporte - pagamento referente a Aug 2025
21/08/2025 07:52;Materiais de Escritório;9539;Materiais de Escritório - pagamento referente a Aug 2025
02/08/2025 18:03;Segurança e Monitoramento;95022;Segurança e Monitoramento - pagamento referente a Aug 2025
28/08/2025 18:06;Serviços de terceiros;52131;Serviços de terceiros - pagamento referente a Aug 2025
15/08/2025 16:45;Compras de equipamentos;36233;Compras de equipamentos - pagamento referente a Aug 2025
29/08/2025 05:52;Manutenção de equipamento;63537;Manutenção de equipamento - pagamento referente a Aug 2025
21/08/2025 19:35;Fretes;33089;Fretes - pagamento referente a Aug 2025
29/08/2025 15:05;Internet;318533;Internet - pagamento referente a Aug 2025
25/08/2025 16:24;Serviços de terceiros;3967;Serviços de terceiros - pagamento referente a Aug 2025
23/08/2025 08:35;Internet;211591;Internet - pagamento referente a Aug 2025
13/08/2025 03:46;Contabilidade;29847;Contabilidade - pagamento referente a Aug 2025
31/08/2025 20:16;Materiais de Limpeza;15191;Materiais de Limpeza - pagamento referente a Aug 2025
10/08/2025 10:03;Aluguel;229412;Aluguel - pagamento referente a Aug 2025
24/08/2025 23:27;Contabilidade;115287;Contabilidade - pagamento referente a Aug 2025
08/08/2025 01:34;Vale Transporte;201912;Vale Transporte - pagamento referente a Aug 2025
23/08/2025 00:56;Compras de equipamentos;55593;Compras de equipamentos - pagamento referente a Aug 2025
07/08/2025 18:31;Internet;200296;Internet - pagamento referente a Aug 2025
14/08/2025 07:29;Materiais de Limpeza;17867;Materiais de Limpeza - pagamento referente a Aug 2025
08/08/2025 10:17;Manutenção predial;78854;Manutenção predial - pagamento referente a Aug 2025
13/08/2025 19:17;Internet;287278;Internet - pagamento referente a Aug 2025
09/08/2025 23:08;Eventos;50;Eventos - pagamento referente a Aug 2025
02/08/2025 20:09;Água;171887;Água - pagamento referente a Aug 2025
20/08/2025 11:20;Materiais de Escritório;42497;Materiais de Escritório - pagamento referente a Aug 2025
28/08/2025 16:04;Fretes;63223;Fretes - pagamento referente a Aug 2025
