Data;Categoria;Receita;Canal de Venda
23/10/2024 08:17;Produtos Eletrônicos;5406;Parcerias
15/10/2024 20:45;Roupas;14482;Marketplace
14/10/2024 21:42;Produtos Eletrônicos;1094;Marketplace
24/10/2024 11:33;Beleza;23451;Loja Virtual
17/10/2024 00:38;Produtos Eletrônicos;50;Parcerias
27/10/2024 16:09;Roupas;54019;Marketplace
28/10/2024 10:57;Acessórios;27621;Parcerias
28/10/2024 17:17;Acessórios;28555;Parcerias
27/10/2024 00:55;Calçados;1933;Parcerias
03/10/2024 18:59;Produtos Eletrônicos;5709;Marketplace
11/10/2024 18:40;Esportes;10435;Marketplace
27/10/2024 00:19;Casa & Cozinha;4519;Loja Virtual
21/10/2024 14:31;Calçados;50;Parcerias
20/10/2024 23:01;Esportes;3301;Parcerias
26/10/2024 00:13;Roupas;68301;Loja Virtual
23/10/2024 23:11;Esportes;1082;Marketplace
28/10/2024 20:48;Esportes;50;Marketplace
04/10/2024 10:29;Esportes;19404;Parcerias
30/10/2024 02:11;Produtos Eletrônicos;35119;Marketplace
09/10/2024 20:30;Produtos Eletrônicos;34163;Parcerias
06/10/2024 14:02;Casa & Cozinha;61144;Marketplace
02/10/2024 11:01;Beleza;50;Marketplace
03/10/2024 13:53;Produtos Eletrônicos;64065;Marketplace
23/10/2024 16:26;Beleza;50;Parcerias
