Data;Categoria;Receita;Canal de Venda
17/01/2025 09:03;Acessórios;50;Marketplace
16/01/2025 20:11;Casa & Cozinha;5124;Loja Virtual
20/01/2025 08:35;Produtos Eletrônicos;29656;Parcerias
17/01/2025 09:41;Roupas;31416;Parcerias
07/01/2025 23:53;Produtos Eletrônicos;9865;Marketplace
08/01/2025 22:45;Acessórios;50;Marketplace
16/01/2025 05:11;Esportes;8361;Loja Virtual
10/01/2025 20:28;Esportes;50;Marketplace
17/01/2025 09:20;Casa & Cozinha;67495;Loja Virtual
07/01/2025 18:51;Casa & Cozinha;4308;Loja Virtual
11/01/2025 20:43;Esportes;8692;Marketplace
02/01/2025 12:40;Roupas;50;Parcerias
16/01/2025 09:36;Casa & Cozinha;46486;Loja Virtual
01/01/2025 08:48;Casa & Cozinha;1905;Loja Virtual
08/01/2025 10:17;Casa & Cozinha;28881;Parcerias
18/01/2025 02:51;Calçados;37811;Parcerias
06/01/2025 22:59;Esportes;22737;Marketplace
19/01/2025 18:30;Produtos Eletrônicos;48892;Parcerias
07/01/2025 03:48;Acessórios;3675;Loja Virtual
30/01/2025 00:53;Esportes;31934;Parcerias
03/01/2025 08:35;Esportes;24354;Parcerias
07/01/2025 15:07;Produtos Eletrônicos;26033;Loja Virtual
29/01/2025 01:20;Beleza;44168;Marketplace
16/01/2025 00:20;Casa & Cozinha;30739;Loja Virtual
22/01/2025 09:06;Esportes;12234;Loja Virtual
29/01/2025 07:47;Roupas;75231;Parcerias
07/01/2025 03:34;Acessórios;29581;Parcerias
17/01/2025 07:15;Esportes;27462;Parcerias
04/01/2025 21:19;Casa & Cozinha;51627;Marketplace
28/01/2025 03:46;Calçados;29487;Parcerias
